"Model no","Item Name","Qty Sold","Item Cost","Retail Price","Extended Cost","Total Revenue","Gross Profit","Gross Profit%","Sale Mode",Size,"Product No","Product color"
25276005,"MARLED POLY FLEECE HOODIE RD/BLK XL",12,12.75,55,331.5,660,328.5,0.768181818,In-store,XL,252760,RD/BLK
25276006,"MARLED POLY FLEECE HOODIE RD/BLK XXL",8,12.75,55,204,440,236,0.768181818,In-store,XXL,252760,RD/BLK
25276007,"MARLED POLY FLEECE HOODIE RD/BLK 3XL",1,27.5,55,27.5,55,27.5,0.5,In-store,3XL,252760,RD/BLK
25286002,"POLY FLEECE FZIP HOODIE RD/BLK SM",5,28.5,58,142.5,290,147.5,0.50862069,In-store,SM,252860,RD/BLK
25286003,"POLY FLEECE FZIP HOODIE RD/BLK MED",9,28.5,58,285,522,237,0.50862069,In-store,MED,252860,RD/BLK
25286004,"POLY FLEECE FZIP HOODIE RD/BLK LG",12,28.5,58,342,696,354,0.50862069,In-store,LG,252860,RD/BLK
25286005,"POLY FLEECE FZIP HOODIE RD/BLK XL",11,28.5,58,313.5,638,324.5,0.50862069,In-store,XL,252860,RD/BLK
25286006,"POLY FLEECE FZIP HOODIE RD/BLK XXL",7,28.5,58,199.5,406,206.5,0.50862069,In-store,XXL,252860,RD/BLK
25286007,"POLY FLEECE FZIP HOODIE RD/BLK 3XL",2,28.5,58,61,116,55,0.50862069,In-store,3XL,252860,RD/BLK
28023002,"HOOD SWEAT",1,28.5,52.99,0,13.25,13.25,0.462162672,In-store,SM,280230,Unknown
30696002,"HOOD SWEAT WP DAD RED SM",1,28.35,59.99,28.35,59.99,31.64,0.527421237,In-store,SM,306960,RED
30696003,"HOOD SWEAT WP DAD RED MED",6,28.35,59.99,170.1,299.94,129.84,0.527421237,In-store,MED,306960,RED
30696004,"HOOD SWEAT WP DAD RED LG",11,28.35,59.99,311.85,524.89,213.04,0.527421237,In-store,LG,306960,RED
30696005,"HOOD SWEAT WP DAD RED XL",14,28.35,59.99,396.9,704.86,307.96,0.527421237,In-store,XL,306960,RED
30696006,"HOOD SWEAT WP DAD RED XXL",7,28.35,59.99,198.45,347.93,149.48,0.527421237,In-store,XXL,306960,RED
30726002,"HOOD SWEAT NCST MOM RED SM",8,27.74,59.99,221.92,437.92,216,0.537589598,In-store,SM,307260,RED
30726003,"HOOD SWEAT NCST MOM RED MED",14,27.74,59.99,388.36,695.86,307.5,0.537589598,In-store,MED,307260,RED
30726004,"HOOD SWEAT NCST MOM RED LG",17,27.74,59.99,471.58,899.83,428.25,0.537589598,In-store,LG,307260,RED
30726005,"HOOD SWEAT NCST MOM RED XL",8,27.74,59.99,221.92,401.92,180,0.537589598,In-store,XL,307260,RED
30726006,"HOOD SWEAT NCST MOM RED XXL",6,27.74,59.99,166.44,320.94,154.5,0.537589598,In-store,XXL,307260,RED
35824202,"HOODIE STONE SM",3,27.26,58.99,81.78,88.49,6.71,0.537887778,In-store,SM,358242,STONE
35824205,"HOODIE STONE XL",5,27.26,58.99,136.3,73.75,-62.55,0.537887778,In-store,XL,358242,STONE
35824206,"HOODIE STONE XXL",1,27.26,58.99,27.26,14.75,-12.51,0.537887778,In-store,XXL,358242,STONE
35836002,"HOODIE RED SM",3,27.1,58.99,81.31,132.73,51.42,0.540600102,In-store,SM,358360,RED
35836003,"HOODIE RED MED",3,27.26,58.99,81.78,88.49,6.71,0.537887778,In-store,MED,358360,RED
