"Model no","Display Name","Date Created","Date Received","Item name","Quantity Received","Unit Cost","Extended Cost","Retail Price","Extended retail","Gross Margin %",Size,"Product No"
75586002," HOOD SWEAT RED SM",11/16/2023,11/29/2023,"315 - Hooded Sweat Adult",6,25.06,150.36,54.99,329.94,0.544280778,SM,755860
75586003," HOOD SWEAT RED MED",11/16/2023,11/29/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,MED,755860
75586004," HOOD SWEAT RED LG",11/16/2023,11/29/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,LG,755860
75586005," HOOD SWEAT RED XL",11/16/2023,11/29/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,755860
75586006," HOOD SWEAT RED XXL",11/16/2023,11/29/2023,"315 - Hooded Sweat Adult",6,25.06,150.36,54.99,329.94,0.544280778,XXL,755860
75593502," HOOD SWEAT WHT SM",11/16/2023,11/29/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,SM,755935
75593503," HOOD SWEAT WHT MED",11/16/2023,11/29/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,MED,755935
75593504," HOOD SWEAT WHT LG",11/16/2023,11/29/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,LG,755935
75593505," HOOD SWEAT WHT XL",11/16/2023,11/29/2023,"315 - Hooded Sweat Adult",12,25.06,300.72,54.99,659.88,0.544280778,XL,755935
75593506," HOOD SWEAT WHT XXL",11/16/2023,11/29/2023,"315 - Hooded Sweat Adult",6,25.06,150.36,54.99,329.94,0.544280778,XXL,755935
75563002," HOOD SWEAT BLK  SM",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,SM,755630
75563003," HOOD SWEAT BLK  MED",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",36,25.06,902.16,54.99,1979.64,0.544280778,MED,755630
75563004," HOOD SWEAT BLK  LG",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",36,25.06,902.16,54.99,1979.64,0.544280778,LG,755630
75563005," HOOD SWEAT BLK  XL",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",24,25.06,601.44,54.99,1319.76,0.544280778,XL,755630
75603002," HOOD SWEAT BLACK SM",11/16/2023,12/1/2023,"315 - Hooded Sweat Adult",18,25.06,451.08,54.99,989.82,0.544280778,SM,756030
